id,price
100000,5854173.77405838
100001,6007848.511943827
100002,4732568.933387704
100003,5659921.8948039645
100004,5885200.132124798
100005,6048196.128450926
100006,5265387.381882552
100007,5254188.987253758
100008,5488513.530086323
100009,5035259.180852795
100010,5109760.47498611
100011,5197689.581356749
100012,5018264.327419989
100013,4813280.621124212
100014,6025609.781446335
100015,5853651.581763067
100016,4757089.202631361
100017,4952958.293293638
100018,5572573.382500201
100019,6174045.058504526
100020,5010627.443013495
100021,4855437.10333522
100022,6232362.997881518
100023,4918591.593227818
100024,4727762.573239853
100025,4626977.018271722
100026,5638705.074067741
100027,5804931.356364086
100028,5574026.027662288
100029,4742478.186194609
100030,4913699.759053691
100031,5650905.412710709
100032,4897755.793498894
100033,4875411.94553542
100034,5521539.645360345
100035,4435691.760965746
100036,4621759.911306307
100037,5680155.176335529
100038,6084183.706726938
100039,4660296.512533414
100040,5917068.396416181
100041,5536588.0941477725
100042,4824143.0931298975
100043,5820810.735106463
100044,4817908.196137257
100045,5367488.6911842
100046,4547240.993697589
100047,5203642.508319297
100048,5272235.1805022
100049,5337716.509778648
100050,4609718.049631462
100051,4966650.905846258
100052,5073193.9472870035
100053,5567721.134477297
100054,4693202.629603161
100055,4924045.545600275
100056,5869265.092377515
100057,4769093.503466193
100058,5058487.153414333
100059,4983825.469690429
100060,5774389.631183472
100061,4920765.76332802
100062,4782529.025689074
100063,4548550.410601085
100064,4285835.370713813
100065,4348899.954978678
100066,5982162.03585584
100067,5537962.665419657
100068,5027460.017902256
100069,5806292.888393422
100070,4836962.634016225
100071,4866033.134805072
100072,4887072.786294265
100073,4755382.072315146
100074,4607805.845579795
100075,4830266.816383435
100076,4959490.911818537
100077,4688434.144737762
100078,4830946.443005156
100079,4379240.473369513
100080,5622320.463582766
100081,4344453.0674588615
100082,6035677.850322852
100083,5717259.333402095
100084,5129472.635716411
100085,4870581.440314474
100086,5656026.283074571
100087,5085761.774100083
100088,5996408.476988675
100089,4713349.642395001
100090,5609574.482484369
100091,5013246.714878223
100092,5543542.128109896
100093,5592552.522793111
100094,4956586.153992049
100095,5876676.6261183275
100096,5330060.984086762
100097,5856929.80314008
100098,5569838.096411302
100099,4713971.410396075
100100,4671618.208369421
100101,4318597.176917011
100102,4515534.526031514
100103,4786033.811317673
100104,4731872.206454111
100105,4656707.083778924
100106,5381215.792953568
100107,5778702.823290262
100108,4955757.172197497
100109,4431031.218775244
100110,4664263.829349696
100111,5936835.63451106
100112,4675630.510349256
100113,4336691.488466229
100114,6077945.38491194
100115,4568108.573315688
100116,5442367.535880206
100117,5674907.819231971
100118,4815331.693243271
100119,4999677.02750196
100120,4998126.716220311
100121,4627893.7880023485
100122,5917125.555552019
100123,4600259.733717107
100124,5726604.790535789
100125,4723720.611802464
100126,5344564.308398295
100127,5785401.494231965
100128,5532983.466505025
100129,4475747.2087104535
100130,4731860.304679402
100131,5689950.675334856
100132,6168868.774746718
100133,5724976.712376204
100134,4944801.175495903
100135,5693978.514706449
100136,5098226.281042407
100137,5275720.114439137
100138,4729142.116492466
100139,4592498.154724475
100140,6162113.539080419
100141,5795896.391640055
100142,4776658.271732537
100143,6052775.323445574
100144,4931100.489652343
100145,4742853.5476435125
100146,5021442.020164095
100147,5050944.220749521
100148,5497947.985656645
100149,4859127.299396556
100150,4937276.836360836
100151,4552327.7170672715
100152,4664420.5444707805
100153,5511563.9903216
100154,4709199.861582963
100155,4608247.241758026
100156,4852021.929022556
100157,4742478.186194609
100158,5436258.154330955
100159,5707908.577493382
100160,6061779.505831892
100161,5046121.06306688
100162,4693202.629603161
100163,6321793.345232158
100164,5195937.020386707
100165,5771818.477619519
100166,4966038.513739508
100167,5166317.180047559
100168,5170733.3451243825
100169,5712110.432869269
100170,4629951.331163027
100171,4419600.88208315
100172,5198403.964589841
100173,5411369.3382104505
100174,5112415.40574739
100175,5550434.3679585885
100176,4331549.181338324
100177,6216958.424793702
100178,6008253.300394744
100179,4813837.487233957
100180,5656924.560060833
100181,4651977.245482286
100182,4839558.904323378
100183,4594180.7695804015
100184,4612346.631000104
100185,4863010.990130445
100186,4669448.252375951
100187,4524849.0274333395
100188,4576086.458031184
100189,5070090.261348654
100190,5459740.827712478
100191,4523196.829989958
100192,4837006.851187629
100193,5874263.377576514
100194,5508516.091068547
100195,4630283.037527183
100196,4786457.656161014
100197,4530814.054080262
100198,4786705.553948197
100199,4349595.374586767
100200,4303881.563962256
100201,4637568.555253332
100202,5006003.695854237
100203,5762942.656355996
100204,5798315.499807738
100205,5153213.900660095
100206,5922621.450361649
100207,5870660.693431311
100208,4796404.780725136
100209,4620915.755023247
100210,5279699.611998497
100211,5352711.495383391
100212,4760572.001614015
100213,4818583.288040148
100214,4786707.513133029
100215,4297979.830104617
100216,4812361.6650036415
100217,4955987.88225148
100218,4920520.4490319
100219,4699238.840438465
100220,4904247.028149732
100221,5505325.843283922
100222,4455139.171401973
100223,5533329.063724571
100224,4747225.916354509
100225,4991444.687548471
100226,5424273.224330988
100227,5717339.095148828
100228,4614380.054876985
100229,5413940.491774403
100230,6108303.620272326
100231,4665083.778634742
100232,5857731.118257873
100233,4647309.237834337
100234,5071551.869298857
100235,5428496.575338323
100236,5546232.453715296
100237,5710055.7698697755
100238,4951990.609845772
100239,6038540.145599762
100240,4897239.996705677
100241,5143562.405964451
100242,4830907.948029803
100243,5418755.555754179
100244,6172421.600600761
100245,4514564.41317753
100246,4489627.47875625
100247,4731372.055664008
100248,5970113.4629928935
100249,5583330.01737694
100250,6191137.486362023
100251,4902822.065026792
100252,4424791.307511831
100253,5708044.986884073
100254,5004271.5175259095
100255,4767782.224983593
100256,5163635.00029571
100257,5023035.898563817
100258,5182306.651348704
100259,5887138.227293495
100260,4925910.064223662
100261,5212512.791230305
100262,5494875.851076003
100263,5687875.23154447
100264,4710252.365464023
100265,5783608.121469165
100266,5285100.829771859
100267,5583676.476044168
100268,5248100.615363845
100269,5952153.784616636
100270,4529501.723174949
100271,5094228.436419057
100272,4933236.642955029
100273,5614493.255465011
100274,5278057.255381852
100275,4722236.200831119
100276,4499409.783081336
100277,5363929.02643486
100278,5979630.415902786
100279,4796645.331718474
100280,5844497.88016366
100281,4960219.471352238
100282,4513107.72736989
100283,5691483.204606977
100284,5853933.948429719
100285,4715318.778121546
100286,5166649.108521088
100287,5095799.553772993
100288,5859316.081186284
100289,6098018.898009919
100290,4754376.028932333
100291,4712956.899274418
100292,5506553.720932338
100293,5533328.567594759
100294,4756266.1122828
100295,4891052.732850501
100296,5695992.284436176
100297,4613697.77070228
100298,4643371.623103301
100299,4926784.480865892
100300,4844579.495496256
100301,5065074.072128359
100302,4953919.966009806
100303,5719676.5002261605
100304,4818753.865313576
100305,4811228.096819127
100306,4903349.378254929
100307,5010673.440177985
100308,5570959.82189575
100309,4917702.405069048
100310,5104266.448440248
100311,5918583.417939704
100312,4920091.007390337
100313,4769093.503466193
100314,5834605.011569031
100315,4603104.934630122
100316,5637799.5183977345
100317,4933225.563054313
100318,4443935.104895782
100319,4843012.502027169
100320,4864812.777027821
100321,5519313.252150547
100322,4844028.139873203
100323,5699601.123716735
100324,4783257.264668083
100325,4794517.210426439
